source_path	component_id	category	transform	d4_action	d5_action	ownership_note
.local/lib/dotfiles/doctor.d/README.md	local-lib-dotfiles-doctor-d-readme-md	doctor	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/doctor.d/lib/agent-hooks.sh	agent-tooling	doctor	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/doctor.d/lib/agent-rules.sh	agent-rules	doctor	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation
.local/lib/dotfiles/doctor.d/lib/compat.sh	dot-extension-runtime	doctor	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/doctor.d/lib/cron.sh	local-lib-dotfiles-doctor-d-lib-cron-sh	doctor	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/doctor.d/lib/integrations.sh	split-doctor	doctor	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/doctor.d/lib/nvim.sh	split-nvim	doctor	split	remove	none	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/doctor.d/lib/shdeps-assets.sh	dot-extension-runtime	doctor	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/doctor.d/lib/shell.sh	shell-base	doctor	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/doctor.d/lib/tools.sh	split-doctor	doctor	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/git-hooks/README.md	git-workflow	docs	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/git-hooks/commit-msg	git-workflow	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/git-hooks/pre-applypatch	git-workflow	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/git-hooks/pre-commit	git-workflow	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/git-hooks/pre-merge-commit	git-workflow	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/git-hooks/prepare-commit-msg	git-workflow	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/git-hooks/sley-commit-gate	sley	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/git-hooks/sley-provider-hook	sley	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/launcher-real.sh	local-lib-dotfiles-launcher-real-sh	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/README.md	local-lib-dotfiles-merge-hooks-d-readme-md	docs	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/agent-rules.sh	agent-rules	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation
.local/lib/dotfiles/merge-hooks.d/claude.sh	agent-tooling	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/merge-hooks.d/codex.sh	agent-tooling	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/merge-hooks.d/cron.serial.sh	local-lib-dotfiles-merge-hooks-d-cron-serial-sh	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/gemini.sh	agent-tooling	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/merge-hooks.d/gh.sh	local-lib-dotfiles-merge-hooks-d-gh-sh	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/git.sh	git-workflow	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/gstack.sh	agent-tooling	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/merge-hooks.d/hive-memory.sh	agent-tooling	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/merge-hooks.d/ignore.sh	local-lib-dotfiles-merge-hooks-d-ignore-sh	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/iterm2.sh	local-lib-dotfiles-merge-hooks-d-iterm2-sh	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/karabiner.sh	local-lib-dotfiles-merge-hooks-d-karabiner-sh	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/lib/agent-playbooks.sh	agent-rules	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation
.local/lib/dotfiles/merge-hooks.d/lib/codex/api.sh	agent-tooling	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/merge-hooks.d/lib/codex/refresh-trust.py	agent-tooling	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/merge-hooks.d/lib/codex/toml-render.py	agent-tooling	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/merge-hooks.d/lib/compat.sh	dot-extension-runtime	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/lib/shdeps-assets.sh	dot-extension-runtime	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/lib/windows.sh	dot-extension-runtime	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/mise.sh	dev-toolchain	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/muse.sh	agent-tooling	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/merge-hooks.d/nvim.sh	nvim-editor	runtime	keep	keep	remove	owner=dotfiles-nvim; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/opencode.sh	agent-tooling	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/merge-hooks.d/sapling.sh	local-lib-dotfiles-merge-hooks-d-sapling-sh	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/ssh.sh	local-lib-dotfiles-merge-hooks-d-ssh-sh	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/tmux.sh	tmux-base	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/vscode.sh	vscode	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/merge-hooks.d/wezterm.sh	terminal-navigation	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/pre-sync.d/10-overlay-ssh.sh	local-lib-dotfiles-pre-sync-d-10-overlay-ssh-sh	runtime	keep	rewrite	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/shdeps-assets.sh	dot-extension-runtime	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/shell-loader.sh	shell-base	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/sley-hooks/README.md	sley	docs	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/sley-hooks/validate-commit-msg	sley	runtime	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/README.md	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/agent-rules-adapter-test	agent-rules	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation
.local/lib/dotfiles/tests/agent-rules-test	agent-rules	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation
.local/lib/dotfiles/tests/agent-yolo-wrappers-test	agent-tooling	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/tests/android-ci-smoke	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/client-extensions-test	dot-control	test	keep	rewrite	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/client-paths-test	dot-control	test	keep	rewrite	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/clip-test	local-lib-dotfiles-tests-clip-test	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/core-cron-test	local-lib-dotfiles-tests-core-cron-test	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/core-doctor-test	split-doctor	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/core-launchers-test	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/core-merges-test	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/core-static-test	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/core-test	local-lib-dotfiles-tests-core-test	test	keep	rewrite	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/core-update-test	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/core/README.md	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/core/cron.sh	local-lib-dotfiles-tests-core-cron-sh	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/core/doctor.sh	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/core/launchers.sh	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/core/merges.sh	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/core/static.sh	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/fixtures.sh	local-lib-dotfiles-tests-fixtures-sh	test	keep	rewrite	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/fixtures/common-language-policy.json	local-lib-dotfiles-tests-fixtures-common-language-policy-json	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/fixtures/nvim-link-routes.tsv	nvim-editor	test	keep	remove	none	owner=dotfiles-nvim; source=locked-dotfiles
.local/lib/dotfiles/tests/git-shell-workflows-test	git-workflow	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/githook-test	git-workflow	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/gstack-register-test	agent-tooling	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles; agent=dev-agent-tooling
.local/lib/dotfiles/tests/harness-isolation-test	local-lib-dotfiles-tests-harness-isolation-test	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/helpers.sh	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/load-merge-api.sh	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/lua-test	split-tests	test	split	remove	none	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/mise-refresh-workflow-test	dev-toolchain	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/nvim-test	split-nvim	test	split	remove	none	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/prompt-test	local-lib-dotfiles-tests-prompt-test	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/schema-associations-test	checkrun	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/schema-refresh-workflow-test	checkrun	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/shdeps-hooks-test	split-shdeps	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/support/tmux-focus-style.py	tmux-base	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/tmux-continuum-test	tmux-base	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/tmux-test	split-tmux	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/tool-init-test	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/validate-commit-msg-test	sley	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/vscode-extensions-test	vscode	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/vscode-sley-test	vscode	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/wezterm-test	split-tests	test	split	rewrite	keep	owner=mixed; source=locked-dotfiles; split=reviewed-container
.local/lib/dotfiles/tests/workflow-consistency-test	local-lib-dotfiles-tests-workflow-consistency-test	test	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/lib/dotfiles/tests/xdg-test	local-lib-dotfiles-tests-xdg-test	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/tests/zsh-completion-test	local-lib-dotfiles-tests-zsh-completion-test	test	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/lib/dotfiles/windows.sh	local-lib-dotfiles-windows-sh	runtime	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/share/checkrun/schemas/README.md	checkrun	docs	keep	remove	none	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/biome.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/bottom.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/cargo-make.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/cargo.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/clang-format-21.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/clang-tidy.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/clangd.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/claude-code-marketplace.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
