repository	destination_path	component_id	category	origin	available_by	ownership_note
dotfiles	.config/agent-rules/rules.d/030-dotfiles.md	agent-rules	config	old:.config/agent-rules/rules.d/030-dotfiles.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/rules.d/040-shell-and-commands.md	agent-rules	config	old:.config/agent-rules/rules.d/040-shell-and-commands.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/rules.d/045-safety.md	agent-rules	config	old:.config/agent-rules/rules.d/045-safety.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/rules.d/050-git-and-github.md	agent-rules	config	old:.config/agent-rules/rules.d/050-git-and-github.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/rules.d/060-design-principles.md	agent-rules	config	old:.config/agent-rules/rules.d/060-design-principles.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/rules.d/070-engineering-workflow.md	agent-rules	config	old:.config/agent-rules/rules.d/070-engineering-workflow.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/rules.d/080-testing.md	agent-rules	config	old:.config/agent-rules/rules.d/080-testing.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/rules.d/090-commit-style.md	agent-rules	config	old:.config/agent-rules/rules.d/090-commit-style.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/rules.d/100-code-style.md	agent-rules	config	old:.config/agent-rules/rules.d/100-code-style.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/rules.d/110-on-demand-playbooks.md	agent-rules	config	old:.config/agent-rules/rules.d/110-on-demand-playbooks.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/atuin/config.toml	config-atuin-config-toml	config	old:.config/atuin/config.toml	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/bottom/bottom.toml	config-bottom-bottom-toml	config	old:.config/bottom/bottom.toml	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/config	dot-control	config	old:.config/dot/config	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/agent-rules/README.md	agent-rules	docs	old:.config/dot/merge-hooks.d/agent-rules/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation; family=base
dotfiles	.config/dot/merge-hooks.d/agent-rules/targets.d/80-targets.replace/50-native.txt	agent-rules	config	old:.config/dot/merge-hooks.d/agent-rules/targets.d/80-targets.replace/50-native.txt	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation; family=base
dotfiles	.config/dot/merge-hooks.d/cron/cron.d/10-update.cron	dot-control	config	old:.config/dot/merge-hooks.d/cron/cron.d/10-update.cron	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/cron/path.d/10-defaults.txt	dot-control	config	old:.config/dot/merge-hooks.d/cron/path.d/10-defaults.txt	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/cron/README.md	dot-control	docs	old:.config/dot/merge-hooks.d/cron/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/ignore/ignore.d/10-patterns.gitignore	dot-control	config	old:.config/dot/merge-hooks.d/ignore/ignore.d/10-patterns.gitignore	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/ignore/README.md	dot-control	docs	old:.config/dot/merge-hooks.d/ignore/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/iterm2/defaults.d/10-preferences.tsv	dot-control	config	old:.config/dot/merge-hooks.d/iterm2/defaults.d/10-preferences.tsv	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/iterm2/profiles.d/10-dotfiles-dyn-profile.json	dot-control	config	old:.config/dot/merge-hooks.d/iterm2/profiles.d/10-dotfiles-dyn-profile.json	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/iterm2/README.md	dot-control	docs	old:.config/dot/merge-hooks.d/iterm2/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/karabiner/profiles.d/10-windows-dotfiles.json	dot-control	config	old:.config/dot/merge-hooks.d/karabiner/profiles.d/10-windows-dotfiles.json	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/karabiner/README.md	dot-control	docs	old:.config/dot/merge-hooks.d/karabiner/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/README.md	split-docs	docs	old:.config/dot/merge-hooks.d/README.md	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/ssh/README.md	dot-control	docs	old:.config/dot/merge-hooks.d/ssh/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
